"","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2023-13","2023-14","2023-15","2023-16","2023-17","2023-18","2023-19","2023-20","2023-21","2023-22","2023-23","2023-24","2023-25","2023-26","2023-27","2023-28","2023-29","2023-30","2023-31","2023-32","2023-33","2023-34","2023-35","2023-36","2023-37","2023-38","2023-39","2023-40","2023-41","2023-42","2023-43","2023-44","2023-45","2023-46","2023-47","2023-48","2023-49","2023-50","2023-51","2023-52","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2024-13","2024-14","2024-15","2024-16","2024-17","2024-18","2024-19","2024-20","2024-21","2024-22","2024-23","2024-24","2024-25","2024-26","2024-27","2024-28","2024-29","2024-30","2024-31","2024-32","2024-33","2024-34","2024-35","2024-36","2024-37","2024-38","2024-39","2024-40","2024-41","2024-42","2024-43","2024-44","2024-45","2024-46","2024-47","2024-48","2024-49","2024-50","2024-51","2024-52"
"Salzburg-intermediate",6,12,6,4,6,9,4,1,11,3,10,8,12,5,3,4,5,3,10,6,8,9,9,7,10,12,6,15,8,6,8,3,4,10,12,6,13,6,9,15,10,8,8,8,11,6,12,11,4,8,8,7,5,11,9,9,9,5,7,7,14,5,13,9,7,12,9,5,10,15,4,7,11,5,7,4,9,20,9,20,8,16,9,5,6,10,10,8,5,3,11,12,7,7,7,7,10,4,4,6,14,8,12,4
"Steiermark-intermediate",8,17,14,27,23,32,28,30,20,12,9,22,18,14,14,13,24,21,20,18,12,21,16,23,14,32,23,15,24,22,17,12,18,14,17,17,15,12,15,15,13,10,14,7,18,13,15,15,14,17,21,8,16,13,27,14,26,22,30,21,35,16,20,18,11,15,29,17,16,15,8,18,7,20,15,17,0,44,32,28,16,26,12,29,21,16,13,19,19,11,36,13,18,10,21,20,25,14,19,16,15,31,23,10
"Tirol-intermediate",12,15,11,14,15,18,11,16,29,15,10,15,12,24,21,14,26,12,23,15,15,20,10,19,11,14,15,23,22,30,21,20,14,16,23,24,29,18,24,20,17,15,24,16,18,10,24,20,14,21,19,7,15,27,10,24,14,18,17,28,22,20,21,10,10,10,15,23,27,17,13,12,17,16,20,11,3,36,18,26,27,22,23,20,10,22,25,17,25,21,23,18,12,27,21,18,19,11,11,19,11,23,14,12
"Vorarlberg-intermediate",10,11,11,12,24,25,28,12,15,17,8,17,23,17,23,16,13,19,9,17,18,11,10,19,30,32,27,15,24,18,16,16,13,19,18,11,14,12,29,9,10,13,11,22,32,11,23,35,8,19,12,15,14,35,20,6,28,31,18,20,26,17,18,14,23,14,15,13,13,11,15,7,15,15,12,15,10,22,25,45,17,22,18,16,9,15,31,19,16,9,15,24,15,14,17,15,18,10,16,14,7,14,36,2
"Burgenland-rural",13,5,9,4,5,4,7,7,15,9,7,7,5,6,8,8,5,9,12,11,6,10,1,12,10,7,10,6,7,4,6,0,4,9,6,4,8,10,7,4,12,5,5,8,6,9,8,9,8,8,4,17,11,12,8,7,6,4,7,9,14,14,7,7,5,6,8,3,6,7,8,1,2,2,11,11,1,12,12,16,7,3,7,6,5,6,1,3,10,7,3,6,17,7,5,0,4,6,12,5,3,20,8,1
"Kärnten-rural",0,8,12,4,21,8,3,10,2,10,4,5,9,7,11,3,6,5,6,5,10,5,7,13,5,7,5,10,7,2,6,12,2,5,14,20,6,4,6,5,8,6,5,6,4,6,10,5,4,7,9,2,6,9,9,6,14,4,6,15,5,10,2,7,7,7,15,14,12,9,10,5,9,9,5,4,1,13,14,8,2,8,7,10,6,7,10,5,15,2,12,10,5,3,12,7,6,5,9,5,12,5,10,2
"Niederösterreich-rural",9,30,24,14,20,17,14,21,15,21,14,23,13,16,18,23,28,14,14,15,12,17,14,19,16,18,23,18,35,14,14,20,14,21,29,22,27,23,19,14,19,33,15,20,35,18,20,19,10,22,19,6,17,18,24,10,21,15,9,12,38,24,16,12,18,9,25,17,17,14,27,18,16,6,21,16,1,39,22,40,17,30,22,17,9,19,27,12,18,20,24,19,18,17,21,12,18,9,18,15,16,23,30,6
"Oberösterreich-rural",60,70,55,47,42,52,42,29,73,28,20,25,42,31,47,37,40,34,32,46,45,75,28,49,40,58,36,33,39,68,52,60,72,54,133,92,96,102,103,89,93,103,87,119,47,25,23,34,20,43,21,21,25,32,30,23,34,34,22,33,30,22,23,26,20,21,15,16,28,20,12,21,17,29,30,29,4,53,28,36,21,15,32,23,12,29,28,19,25,19,26,35,21,26,24,26,18,19,13,30,24,25,29,11
"Salzburg-rural",20,54,69,32,36,8,8,23,15,6,14,18,11,21,12,16,14,18,21,12,8,26,16,12,18,26,20,21,32,22,38,34,63,55,53,43,31,23,15,49,33,27,19,24,24,8,11,6,9,9,20,5,5,6,13,8,16,9,15,9,22,6,9,12,7,8,18,16,10,13,10,13,13,13,14,10,3,31,11,25,11,8,14,11,2,10,9,5,22,8,10,18,27,21,26,22,21,10,8,10,10,10,12,3
"Steiermark-rural",24,25,15,14,24,32,20,26,20,29,28,32,21,14,29,31,22,19,17,17,21,21,13,25,29,37,34,20,24,26,24,14,20,19,18,23,28,18,19,33,19,22,9,25,20,19,23,35,28,16,16,16,17,33,12,13,14,13,24,35,23,18,38,18,19,18,15,21,14,13,11,24,9,23,21,29,1,39,21,28,17,12,19,20,18,17,17,16,25,13,17,31,16,22,32,18,20,17,23,21,19,20,27,3
"Tirol-rural",12,11,4,5,16,11,9,12,14,13,9,10,11,16,17,19,26,16,13,9,12,18,10,12,17,14,12,9,26,17,19,18,12,14,18,16,19,16,16,18,19,20,18,31,17,10,10,9,14,19,15,9,18,22,35,11,25,20,10,11,21,18,18,10,13,22,15,28,37,33,18,16,14,15,23,15,1,27,15,23,9,11,10,13,10,6,11,9,15,14,15,15,11,22,14,9,17,12,16,20,14,11,24,4
"Vorarlberg-rural",5,5,2,7,2,3,2,1,1,3,1,2,5,1,8,3,6,3,6,4,7,3,1,7,3,2,0,1,3,3,1,5,1,5,1,3,3,10,5,5,0,7,5,6,7,3,2,3,2,1,7,2,7,5,4,1,4,5,3,4,5,4,6,3,7,6,3,3,8,1,1,3,2,1,3,4,0,7,4,12,1,5,2,2,3,1,4,3,6,1,3,7,3,4,8,5,6,3,2,5,4,5,3,0
