"","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2023-13","2023-14","2023-15","2023-16","2023-17","2023-18","2023-19","2023-20","2023-21","2023-22","2023-23","2023-24","2023-25","2023-26","2023-27","2023-28","2023-29","2023-30","2023-31","2023-32","2023-33","2023-34","2023-35","2023-36","2023-37","2023-38","2023-39","2023-40","2023-41","2023-42","2023-43","2023-44","2023-45","2023-46","2023-47","2023-48","2023-49","2023-50","2023-51","2023-52","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2024-13","2024-14","2024-15","2024-16","2024-17","2024-18","2024-19","2024-20","2024-21","2024-22","2024-23","2024-24","2024-25","2024-26","2024-27","2024-28","2024-29","2024-30","2024-31","2024-32","2024-33","2024-34","2024-35","2024-36","2024-37","2024-38","2024-39","2024-40","2024-41","2024-42","2024-43","2024-44","2024-45","2024-46","2024-47","2024-48","2024-49","2024-50","2024-51","2024-52"
"Salzburg-intermediate",1,12,7,6,10,13,4,4,3,3,6,9,10,5,4,4,9,10,8,6,7,10,6,16,8,9,2,10,11,9,7,10,7,5,9,3,8,11,8,13,4,7,11,5,11,13,8,14,7,10,7,4,1,9,11,1,12,7,10,8,7,5,8,10,9,15,13,18,4,8,4,12,4,5,9,6,5,15,10,32,10,8,7,4,4,5,13,8,15,8,11,18,8,12,4,15,8,15,7,7,9,6,6,2
"Steiermark-intermediate",12,14,12,10,8,14,7,14,21,11,15,10,15,14,18,10,15,6,15,8,15,11,7,26,10,14,16,11,14,18,11,15,14,17,15,14,20,27,15,27,10,14,16,8,14,12,22,19,13,16,29,6,20,20,17,11,17,8,9,19,14,7,21,19,9,19,19,12,8,13,9,4,7,10,20,24,2,39,16,27,22,10,18,22,13,16,12,12,15,5,21,12,22,20,12,19,26,26,27,22,22,44,14,10
"Tirol-intermediate",11,17,9,7,10,3,11,15,14,9,10,17,16,14,29,19,7,14,9,10,11,12,9,10,9,13,19,9,12,11,20,14,19,9,13,25,30,11,27,14,14,11,3,13,13,18,18,20,10,22,21,6,8,18,15,14,10,9,13,12,25,11,23,16,12,13,17,15,26,18,15,6,14,12,7,9,4,26,32,21,13,8,21,19,11,16,19,17,20,17,18,16,17,24,14,19,20,8,14,12,13,16,16,7
"Vorarlberg-intermediate",12,8,13,5,21,26,16,14,15,15,17,17,19,14,17,7,15,17,7,11,18,13,8,10,13,14,31,11,15,21,11,12,7,14,26,13,12,6,21,5,5,18,9,19,26,10,12,20,11,10,22,13,21,26,17,6,23,19,9,21,16,10,22,11,16,10,16,9,17,15,5,11,9,14,6,10,10,32,18,66,11,15,13,8,6,11,16,17,16,14,21,12,9,14,6,8,16,11,10,17,14,7,16,9
"Burgenland-rural",7,9,8,8,6,4,7,6,10,17,5,6,11,7,5,5,6,8,5,9,6,5,3,8,11,7,13,9,3,8,10,11,3,7,10,12,9,3,5,4,9,8,10,5,8,4,3,3,13,7,9,4,16,12,8,4,6,6,8,8,17,20,8,5,8,8,6,6,2,6,7,9,1,4,19,9,0,12,9,31,1,9,6,2,7,6,2,6,11,8,8,5,19,5,2,5,7,9,3,2,4,18,12,3
"Kärnten-rural",4,8,5,2,35,8,6,3,6,5,11,4,12,10,7,7,5,8,11,3,4,5,5,12,12,7,4,4,14,6,7,11,7,4,6,9,8,8,12,5,9,7,8,6,5,6,7,10,7,5,11,3,10,5,4,5,8,5,3,10,9,8,9,11,8,6,7,5,8,8,7,4,11,6,15,6,4,9,11,12,6,7,7,8,4,10,5,6,10,13,7,8,1,5,13,3,5,11,8,10,4,10,10,1
"Niederösterreich-rural",24,28,20,15,25,18,10,17,22,31,13,22,21,15,28,21,31,12,16,26,16,25,16,11,22,17,33,25,36,27,31,22,14,23,43,27,31,25,31,18,17,31,23,35,25,21,29,25,20,31,25,9,12,22,23,19,25,19,15,11,33,13,14,17,18,17,21,21,17,12,18,16,20,10,19,9,2,33,51,54,16,33,19,30,15,24,28,13,24,23,24,26,14,21,11,21,17,16,19,16,15,21,35,12
"Oberösterreich-rural",22,33,34,25,32,23,18,29,37,23,18,21,31,13,19,27,26,32,20,23,39,32,27,23,15,22,25,23,30,35,31,16,27,39,48,44,49,43,37,38,25,39,35,57,22,15,19,27,25,21,28,18,12,15,19,11,30,21,26,19,20,23,20,12,25,15,21,12,32,17,19,33,21,16,20,17,2,50,37,26,22,23,24,11,16,25,31,32,25,19,23,21,31,24,8,20,21,22,18,21,14,26,21,8
"Salzburg-rural",10,20,15,9,16,11,6,3,9,2,14,16,8,10,11,12,4,11,8,9,13,10,7,11,7,12,11,13,11,9,13,19,19,13,24,23,9,9,13,27,18,19,10,6,11,9,9,14,4,17,17,6,11,9,13,2,16,9,13,10,10,9,8,9,11,12,16,10,7,9,10,9,7,10,3,9,1,20,16,47,15,7,13,17,6,9,9,5,11,7,8,12,11,13,13,8,10,14,3,19,17,15,15,5
"Steiermark-rural",8,8,12,13,18,16,10,12,19,28,11,17,22,16,22,12,17,18,14,19,33,15,6,20,24,26,14,23,13,17,18,18,13,16,23,14,13,16,18,21,14,9,12,17,24,13,21,28,9,12,25,9,27,26,14,11,24,15,21,20,24,11,19,22,16,10,12,21,14,15,11,15,9,11,12,15,2,39,14,21,8,15,12,20,19,13,18,11,12,12,20,11,19,22,17,11,11,8,24,32,26,29,30,4
"Tirol-rural",13,21,19,10,15,8,11,9,19,13,6,10,16,22,12,25,24,10,18,6,18,11,9,11,8,12,7,12,10,11,17,12,17,10,12,16,17,13,21,12,18,16,18,8,15,12,10,20,10,14,15,7,15,17,29,8,17,5,6,14,20,17,13,7,12,16,25,21,19,21,15,13,12,6,15,3,2,20,13,29,9,21,18,12,6,19,15,7,18,12,7,19,11,15,10,16,25,17,22,11,20,15,31,4
"Vorarlberg-rural",6,3,0,3,3,6,5,2,1,8,2,3,6,3,4,6,1,3,5,1,3,6,1,3,2,5,2,2,3,3,8,3,3,0,4,1,2,2,6,5,2,7,7,5,8,0,4,3,1,3,4,4,1,6,5,2,1,5,1,5,5,3,6,2,4,8,9,2,3,1,1,6,1,1,1,2,0,8,9,20,5,4,1,1,2,2,3,3,4,3,4,7,4,3,7,1,5,3,1,3,3,2,0,1
