"","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2023-13","2023-14","2023-15","2023-16","2023-17","2023-18","2023-19","2023-20","2023-21","2023-22","2023-23","2023-24","2023-25","2023-26","2023-27","2023-28","2023-29","2023-30","2023-31","2023-32","2023-33","2023-34","2023-35","2023-36","2023-37","2023-38","2023-39","2023-40","2023-41","2023-42","2023-43","2023-44","2023-45","2023-46","2023-47","2023-48","2023-49","2023-50","2023-51","2023-52","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2024-13","2024-14","2024-15","2024-16","2024-17","2024-18","2024-19","2024-20","2024-21","2024-22","2024-23","2024-24","2024-25","2024-26","2024-27","2024-28","2024-29","2024-30","2024-31","2024-32","2024-33","2024-34","2024-35","2024-36","2024-37","2024-38","2024-39","2024-40","2024-41","2024-42","2024-43","2024-44","2024-45","2024-46","2024-47","2024-48","2024-49","2024-50","2024-51","2024-52"
"48",14,16,18,15,19,22,11,13,23,19,16,14,20,21,19,9,30,14,17,13,24,11,18,17,23,20,19,14,21,19,22,18,15,16,26,27,31,16,20,17,18,28,20,19,21,17,14,24,17,26,24,11,13,22,14,16,22,16,15,20,27,19,12,15,20,15,20,13,21,15,11,18,9,17,12,17,2,39,47,57,22,18,14,20,13,19,25,19,24,11,21,30,25,23,15,18,23,25,18,24,38,23,21,11
"49",15,10,14,22,15,9,18,17,10,19,11,23,24,14,6,11,25,12,16,19,19,17,11,18,22,18,16,13,8,16,22,14,19,7,28,28,17,10,12,18,11,18,19,19,21,20,22,19,11,14,17,12,16,18,15,9,12,15,15,16,17,17,12,9,13,12,17,16,16,20,13,15,12,16,17,15,2,26,42,43,17,18,20,16,21,17,13,17,17,17,18,21,18,27,17,15,25,21,16,22,17,15,22,11
"50",13,14,9,14,16,7,14,11,8,27,7,27,17,24,9,14,19,14,14,13,17,15,12,15,27,8,15,22,18,27,14,14,9,16,17,13,13,16,15,25,18,17,13,13,17,16,13,21,9,21,19,11,14,21,18,10,25,16,18,12,24,16,12,18,8,16,16,10,9,13,8,18,14,16,18,19,1,25,60,48,18,22,9,29,8,17,23,7,13,19,21,10,22,27,13,11,20,12,17,17,19,24,39,10
"51",12,11,10,18,19,12,20,12,18,12,17,22,17,12,13,14,10,15,17,13,11,22,12,13,17,24,16,9,7,22,20,21,13,14,21,12,15,6,12,10,14,13,15,13,13,14,13,23,4,22,18,10,16,25,13,9,14,14,8,21,23,17,19,14,12,15,13,20,20,3,11,10,7,16,13,12,1,28,30,42,17,23,17,13,14,27,13,18,16,18,24,18,23,27,15,12,35,13,20,21,23,20,17,3
"52",13,21,11,9,13,12,10,16,27,12,25,19,10,10,12,17,15,15,13,9,14,13,5,12,17,15,14,14,10,10,15,8,11,18,14,24,11,17,11,16,10,11,12,16,12,15,13,14,11,16,18,9,14,12,14,13,20,9,10,13,16,9,13,10,16,17,13,11,14,16,13,17,18,10,16,12,7,25,38,34,14,17,12,15,15,8,16,15,16,18,18,17,19,20,21,22,9,14,18,21,24,21,20,5
"53",8,21,10,11,21,11,13,12,20,16,15,21,22,14,9,13,10,14,7,16,12,11,6,17,21,12,7,14,12,13,8,18,8,11,20,12,17,12,15,22,13,14,11,8,15,21,8,20,8,15,10,14,6,18,15,11,28,12,10,13,16,15,12,15,14,13,13,9,14,20,9,12,12,11,12,17,3,33,40,43,10,15,22,12,5,14,12,17,16,18,17,10,20,14,15,10,15,17,16,30,20,22,19,7
"54",5,12,13,12,5,12,8,11,17,19,15,18,22,13,5,12,10,10,6,11,14,16,6,22,11,22,15,17,10,14,8,17,7,5,18,10,9,17,19,11,14,6,17,14,14,8,14,11,8,13,11,4,10,12,14,9,19,11,15,15,5,8,13,8,12,11,13,12,22,14,8,20,9,11,16,11,2,23,39,42,11,12,10,7,13,11,8,10,14,13,10,21,18,25,16,17,14,16,13,17,18,19,22,10
"55",16,13,9,17,12,8,13,10,8,11,15,21,15,17,14,11,6,10,4,11,12,11,6,14,12,22,7,7,8,16,10,10,9,11,18,8,11,18,8,16,4,7,15,13,12,11,10,10,11,12,10,5,14,13,14,11,17,9,6,10,10,6,12,9,15,12,8,20,11,19,8,12,8,13,12,12,1,28,28,40,16,18,16,12,13,15,12,4,13,12,6,18,21,18,18,13,17,11,14,11,15,14,12,3
"56",15,9,14,8,17,6,12,14,9,13,18,14,21,8,9,14,12,8,10,10,15,13,11,9,11,10,9,9,5,10,12,3,10,11,17,11,11,12,6,13,12,9,5,9,9,13,7,12,13,12,8,6,5,16,13,5,20,7,9,10,16,16,14,12,9,9,21,12,12,16,5,13,5,10,10,7,1,15,24,29,10,12,6,10,8,15,12,11,14,8,16,13,18,24,18,13,23,11,12,18,7,19,18,11
"57",6,11,17,9,15,10,11,10,10,21,18,16,16,8,7,19,11,8,12,10,18,17,8,12,9,10,11,6,5,13,19,6,3,14,4,15,11,5,13,8,7,13,11,3,7,11,11,11,14,12,12,4,9,15,13,8,14,3,13,6,15,10,6,9,9,7,8,8,10,8,5,14,6,7,12,8,1,13,19,24,7,14,8,5,6,15,12,10,14,14,13,10,14,18,8,11,16,6,8,10,15,20,15,6
"58",4,7,9,11,15,15,8,8,13,10,11,7,12,7,15,11,7,8,6,8,11,19,9,14,14,11,11,8,10,4,10,9,11,8,7,9,13,14,10,12,8,10,9,13,9,13,9,13,7,13,17,4,8,18,13,7,19,6,6,8,14,9,15,9,10,6,8,12,11,14,3,10,11,6,2,4,0,12,20,27,6,13,8,10,9,6,12,5,13,9,13,9,10,30,9,15,27,11,8,14,8,14,18,5
"59",6,11,4,11,16,9,8,7,21,12,9,9,11,4,14,13,9,10,11,11,12,10,7,9,13,12,8,9,14,8,13,9,5,6,15,10,9,12,12,19,7,7,8,11,4,6,9,17,5,18,8,8,6,17,9,10,11,7,6,11,13,12,18,6,14,8,12,13,4,9,3,9,6,11,14,8,2,21,28,23,12,16,9,3,4,7,14,4,14,10,10,15,10,19,11,4,15,12,8,8,12,11,13,8
"60",3,13,5,9,14,7,12,10,13,11,16,15,10,9,11,20,12,8,9,10,13,9,14,8,13,10,11,10,6,10,4,11,6,7,13,12,14,5,14,11,6,9,4,8,9,5,9,9,8,10,9,9,10,10,7,8,6,8,10,9,12,9,9,5,10,17,15,9,10,13,8,10,10,6,11,9,2,24,15,21,10,13,8,11,11,18,7,9,13,4,14,14,9,12,9,10,13,7,8,12,21,13,11,2
"61",6,6,6,7,4,6,14,10,9,12,13,16,13,12,16,15,11,9,8,6,12,17,5,11,11,10,5,11,10,8,4,7,8,9,16,10,13,10,9,6,7,10,10,5,18,6,10,12,7,9,13,2,9,12,9,7,18,5,8,15,9,5,5,11,14,8,12,15,11,9,9,12,11,11,14,13,0,19,20,24,10,10,5,13,10,19,10,6,12,11,21,13,9,24,14,11,17,8,15,10,13,15,17,4
"62",8,9,15,4,18,6,10,11,15,16,7,6,7,14,5,17,12,6,17,9,10,14,11,8,10,9,5,10,12,8,11,6,4,9,18,12,10,6,12,8,7,9,8,4,12,7,8,10,11,10,8,8,12,13,6,13,13,10,4,10,10,5,8,13,4,12,8,6,7,13,10,10,8,12,15,8,0,16,15,21,11,1,12,4,15,80,74,25,5,167,87,6,10,19,8,16,5,8,17,10,11,3,14,7
"63",4,10,7,2,13,10,14,7,11,8,13,9,9,7,11,9,13,5,8,5,4,16,9,9,7,16,11,10,9,12,10,6,3,6,21,9,6,7,11,12,12,7,7,14,5,9,11,8,7,10,12,3,9,10,10,11,12,4,4,12,18,7,8,8,11,12,13,11,6,9,6,18,9,6,8,6,1,12,13,21,12,13,12,16,7,11,16,9,15,10,18,10,14,17,10,11,21,10,11,9,12,14,12,8
"64",6,7,6,8,7,5,10,8,13,13,20,11,16,8,10,11,11,12,7,7,7,15,6,9,16,8,9,5,14,15,14,7,7,11,5,6,12,7,11,17,7,6,9,8,13,8,12,9,10,14,7,4,14,5,7,5,5,7,9,5,10,18,10,9,9,7,11,7,11,15,11,24,10,10,11,9,0,10,15,11,17,8,6,7,5,15,14,9,12,13,10,15,13,14,8,10,10,8,10,16,12,12,9,3
"65",11,12,13,9,13,11,6,6,12,9,20,19,6,8,8,11,17,11,13,9,9,9,8,15,12,16,5,12,6,11,13,3,5,7,9,5,8,4,7,12,15,11,12,3,8,7,6,11,7,11,7,3,10,15,15,8,11,6,11,13,11,5,6,8,11,5,18,8,12,8,7,5,7,8,3,5,2,12,12,18,8,4,7,10,3,16,15,6,7,13,10,7,8,8,8,7,6,10,7,11,11,12,14,8
